brand,model,generation,eng_cap,prod_year,power,fuel_type,car_body,mileage,color,condition,transmission,origin,price,source
BMW,Seria 3,Unknown,1 951 cm³,2000,136 KM,Diesel,Sedan,333 000 km,Niebieski,Nieuszkodzony,Manualna,Unknown,3 500 złdo negocjacji,OLX
BMW,Seria 3,G20/G21 (2019-),2 998 cm3,2019,374 KM,Benzyna,Sedan,153 000 km,Biały,Używane,Automatyczna,Polska,202 999PLN,OTOMOTO
BMW,Seria 3,Unknown,2 999 cm³,2004,231 KM,Benzyna,Coupe,338 500 km,Czerwony,Nieuszkodzony,Manualna,Unknown,20 000 złdo negocjacji,OLX
BMW,Seria 3,F30/F31 (2012-2020),1 995 cm3,2013,143 KM,Diesel,Kombi,310 000 km,Czarny,Używane,Manualna,Niemcy,37 777PLN,OTOMOTO
BMW,Seria 3,E90/E91/E92/E93 (2005-2012),2 993 cm3,2007,285 KM,Diesel,Kombi,298 400 km,Czarny,Używane,Automatyczna,Unknown,35 800PLN,OTOMOTO
BMW,Seria 3,E90/E91/E92/E93 (2005-2012),1 995 cm3,2011,170 KM,Benzyna,Kombi,197 000 km,Czarny,Używane,Automatyczna,Niemcy,22 100PLN,OTOMOTO
BMW,Seria 3,Unknown,1 998 cm³,2014,222 KM,Diesel,Kombi,146 000 km,Niebieski,Nieuszkodzony,Automatyczna,Niemcy,67 500 złdo negocjacji,OLX
BMW,Seria 3,E90/E91/E92/E93 (2005-2012),1 995 cm3,2009,177 KM,Diesel,Kombi,299 200 km,Szary,Używane,Manualna,Włochy,31 700PLN,OTOMOTO
BMW,Seria 3,Unknown,2 000 cm³,2007,122 KM,Diesel,Kombi,377 000 km,Srebrny,Nieuszkodzony,Manualna,Niemcy,17 500 złdo negocjacji,OLX
BMW,Seria 3,Unknown,Unknown,2003,115 KM,Diesel,Sedan,360 000 km,Srebrny,Nieuszkodzony,Manualna,Chorwacja,12 900 zł,OLX
BMW,Seria 3,G20/G21 (2019-),1 995 cm3,2021,190 KM,Diesel,Kombi,35 000 km,Czarny,Używane,Automatyczna,Niemcy,144 999PLN,OTOMOTO
BMW,Seria 3,Unknown,2 000 cm³,2009,164 KM,Diesel,Kombi,415 000 km,Biały,Nieuszkodzony,Automatyczna,Unknown,33 900 zł,OLX
BMW,Seria 3,Unknown,2 000 cm³,2010,170 KM,Benzyna,Sedan,149 769 km,Szary,Nieuszkodzony,Manualna,Unknown,33 900 zł,OLX
BMW,Seria 3,Unknown,1 500 cm³,2018,146 KM,Benzyna,Kombi,119 900 km,Czarny,Nieuszkodzony,Manualna,Polska,68 999 złdo negocjacji,OLX
BMW,Seria 3,Unknown,1 995 cm³,2012,215 KM,Diesel,Kabriolet,189 400 km,Czarny,Nieuszkodzony,Automatyczna,Niemcy,100 000 złdo negocjacji,OLX
BMW,Seria 3,Unknown,1 995 cm³,2009,177 KM,Diesel,Kombi,286 000 km,Żółty – Złoty,Nieuszkodzony,Automatyczna,Unknown,27 000 zł,OLX
BMW,Seria 3,Unknown,1 999 cm³,2006,150 KM,LPG,Sedan,290 000 km,Srebrny,Nieuszkodzony,Manualna,Niemcy,21 499 zł,OLX
BMW,Seria 3,F30/F31 (2012-2020),1 997 cm3,2012,245 KM,Benzyna,Sedan,254 400 km,Szary,Używane,Automatyczna,Stany Zjednoczone,56 800PLN,OTOMOTO
