model,eng_cap,prod_year,power,fuel_type,car_body,mileage,color,condition,transmission,origin,price
Golf,1 498 cm3,2020,150 KM,Benzyna,Auta małe,57 184 km,Czarny,Używane,Manualna,Unknown,85 900PLN
Golf,1 900 cm³,2003,105 KM,Diesel,Hatchback,332 000 km,Srebrny,Nieuszkodzony,Manualna,Unknown,9 500 zł
Golf,1 390 cm³,2004,90 KM,Benzyna,Hatchback,206 000 km,Srebrny,Nieuszkodzony,Manualna,Unknown,6 000 złdo negocjacji
Golf,1 390 cm3,2008,80 KM,Benzyna,Kompakt,197 500 km,Inny kolor,Używane,Manualna,Niemcy,16 900PLN
Golf,1 595 cm3,2010,102 KM,Benzyna+LPG,Kombi,197 000 km,Inny kolor,Używane,Manualna,Unknown,28 000PLN
Golf,1 598 cm3,2011,105 KM,Diesel,Kompakt,269 085 km,Czarny,Używane,Manualna,Unknown,21 800PLN
Golf,1 900 cm³,2007,105 KM,Diesel,Hatchback,299 200 km,Czarny,Nieuszkodzony,Manualna,Niemcy,13 900 zł
Golf,1 900 cm³,2004,130 KM,Diesel,Kombi,450 000 km,Czarny,Nieuszkodzony,Manualna,Niemcy,10 000 złdo negocjacji
Golf,1 390 cm3,2011,122 KM,Benzyna,Kompakt,221 000 km,Czarny,Używane,Automatyczna,Niemcy,23 900PLN
Golf,1 968 cm3,2016,150 KM,Diesel,Kompakt,127 000 km,Inny kolor,Używane,Automatyczna,Niemcy,58 900PLN
Golf,1 896 cm3,2008,105 KM,Diesel,Auta miejskie,333 505 km,Szary,Używane,Manualna,Niemcy,19 000PLN
Golf,1 595 cm3,2000,100 KM,Benzyna,Kabriolet,154 000 km,Czarny,Używane,Manualna,Unknown,15 800PLN
Golf,1 390 cm3,2002,75 KM,Benzyna,Kompakt,198 000 km,Inny kolor,Używane,Manualna,Unknown,5 399PLN
Golf,1 598 cm³,2016,110 KM,Diesel,Kombi,222 000 km,Szary,Nieuszkodzony,Manualna,Polska,40 900 złdo negocjacji
Golf,1 984 cm³,1995,115 KM,Benzyna,Kabriolet,228 000 km,Biały,Nieuszkodzony,Manualna,Niemcy,21 500 złdo negocjacji
Golf,1 400 cm³,2017,125 KM,Benzyna,Hatchback,145 000 km,Czarny,Nieuszkodzony,Manualna,Belgia,64 000 złdo negocjacji
Golf,1 390 cm3,2003,75 KM,Benzyna+LPG,Auta miejskie,215 000 km,Zielony,Używane,Manualna,Unknown,6 900PLN
Golf,1 595 cm³,2000,Unknown,Benzyna,Kombi,247 068 km,Srebrny,Nieuszkodzony,Automatyczna,Polska,5 000 zł
Golf,1 390 cm³,2010,122 KM,Benzyna,Hatchback,210 000 km,Czarny,Nieuszkodzony,Manualna,Polska,28 500 złdo negocjacji
Golf,1 395 cm3,2010,125 KM,Benzyna,Kompakt,134 000 km,Czarny,Używane,Manualna,Niemcy,22 900PLN
Golf,1 498 cm3,2021,150 KM,Benzyna,Kompakt,39 550 km,Czarny,Używane,Automatyczna,Polska,116 000PLN
Golf,2 cm³,2009,140 KM,Diesel,Hatchback,380 000 km,Czarny,Nieuszkodzony,Manualna,Niemcy,20 500 zł
Golf,1 395 cm3,2013,122 KM,Benzyna,Kombi,170 000 km,Niebieski,Używane,Manualna,Polska,44 500PLN
Golf,1 600 cm³,2009,102 KM,Benzyna,Hatchback,180 000 km,Srebrny,Nieuszkodzony,Manualna,Niemcy,21 500 złdo negocjacji
Golf,1 390 cm3,2009,122 KM,Benzyna,Kompakt,120 467 km,Srebrny,Używane,Automatyczna,Niemcy,23 800PLN
Golf,1 395 cm3,2015,122 KM,Benzyna,Auta miejskie,123 000 km,Czarny,Używane,Automatyczna,Polska,49 500PLN
Golf,1 600 cm³,2012,110 KM,Diesel,Kabriolet,205 888 km,Biały,Nieuszkodzony,Manualna,Niemcy,29 500 złdo negocjacji
Golf,1 598 cm3,2017,115 KM,Diesel,Kombi,212 000 km,Biały,Używane,Automatyczna,Niemcy,49 990PLN
Golf,1 200 cm³,2013,102 KM,Benzyna,Hatchback,240 000 km,Inny kolor,Nieuszkodzony,Manualna,Polska,30 600 zł
Golf,1 984 cm3,2014,300 KM,Benzyna,Kompakt,167 597 km,Biały,Używane,Manualna,Polska,77 000PLN
Golf,1 968 cm3,2009,110 KM,Diesel,Kompakt,141 445 km,Błękitny,Używane,Manualna,Unknown,16 999PLN
Golf,1 598 cm3,2016,110 KM,Diesel,Auta miejskie,154 000 km,Biały,Używane,Manualna,Unknown,21 500PLN
